day,date,TA,TB,tdiff,Dept_A,Dept_B,Dest_A,Dest_B,FB_pc,cruise_pc,Distance,dev,FB_solo,FB_form,lon1,lat1,lon2,lat2,lon3,lat3,lon4,lat4,lon5,lat5,lon6,lat6,Exp,SD
Mon,021950,1950,2010,19.705,JFK,JFK,FRA,PRG,7.042,91.86,6492.9212,7.757,79211.7177,73633.6028,-73.7789,40.6398,-73.7789,40.6398,-70.4849,42.6913,11.0193,50.5989,12.2508,50.0264,14.26,50.1008,75144.0012,1504.7858
Mon,022325,2325,0200,1287.0028,EWR,JFK,SNN,SNN,8.4175,90.6776,4957.5918,1.1633,34179.2888,31302.2613,-74.1687,40.6925,-73.7789,40.6398,-71.5382,41.9429,-12.0613,53.0401,-8.9248,52.702,-8.9248,52.702,32595.0611,631.2986
Mon,022200,2200,2140,50.813,IAD,JFK,VIE,VIE,8.7006,90.568,6986.9378,3.529,84516.2824,77162.8937,-77.4558,38.9445,-73.7789,40.6398,-71.4923,42.0605,13.8407,49.1102,16.5697,48.1103,16.5697,48.1103,79848.2745,1342.8347
Mon,022300,2300,2215,45,JFK,JFK,TXL,WAW,8.4654,89.2295,6622.7265,29.9461,67261.2258,61567.2717,-73.7789,40.6398,-73.7789,40.6398,-71.6095,42.1619,10.4292,53.3477,13.2877,52.5597,20.9671,52.1658,63931.0437,1113.3621
Mon,022245,2245,2125,81.7433,EWR,JFK,ZRH,ZRH,8.9029,92.2213,6321.4097,1.0688,66605.6586,60675.8253,-74.1687,40.6925,-73.7789,40.6398,-71.3786,41.9484,5.7252,48.343,8.5492,47.4647,8.5492,47.4647,63102.0882,1190.5949
Mon,020035,0035,0035,0.50545,LAX,LAX,AMS,DUS,9.4163,93.7784,9044.8138,0.55509,142595.0681,129167.8951,-118.4081,33.9425,-118.4081,33.9425,-116.8104,36.0609,2.6646,53.5487,4.7639,52.3086,6.7668,51.2895,132498.8127,1737.9382
Mon,020615,0615,0325,170,LAX,LAX,CDG,LHR,9.3553,92.5716,8932.1587,2.6341,125077.0505,113375.6699,-118.4081,33.9425,-118.4081,33.9425,-116.7824,35.8764,-3.012,52.8215,2.55,49.0128,-0.46139,51.4775,116670.2438,1506.9673
Mon,020035,0035,0340,185.0571,LAX,LAX,FRA,MUC,9.3356,92.2449,9470.1124,3.1704,130578.6404,118388.3797,-118.4081,33.9425,-118.4081,33.9425,-116.3464,36.6687,6.3314,51.5431,8.5431,50.0264,11.7861,48.3538,121702.0028,1504.8752
Mon,022220,2220,0215,1204.8194,LAX,LAX,FCO,ZRH,8.6881,90.5019,9877.9023,18.3893,136500.7824,124641.4749,-118.4081,33.9425,-118.4081,33.9425,-116.2467,36.6165,6.3765,49.0451,12.2508,41.8045,8.5492,47.4647,127051.833,1673.5705
Mon,022215,2215,2120,54.0023,MCO,MCO,LGW,MAN,8.865,91.9079,6926.348,62.9612,114918.7888,104731.182,-81.309,28.4294,-81.309,28.4294,-79.4404,30.1207,-5.2299,52.2986,-2.275,51.1481,-0.19028,53.3537,108477.4121,1674.2865
Mon,022345,2345,2110,155.8729,MIA,MIA,DUS,FRA,7.7097,87.6806,7210.9767,36.499,84719.2105,78187.6448,-80.2906,25.7933,-80.2906,25.7933,-77.7258,28.0367,-6.8881,50.2724,4.7639,51.2895,-3.5668,50.0264,79982.9112,1393.4867
